year,quarter,week_ending,hb,admission_type,specialty,number_admissions,average20182019,percent_variation
2020,1,2020-01-05,S08000024,Emergency,All,1891,1598,18.3
2020,1,2020-01-05,S08000024,Emergency,Cancer,67,43.5,54
2020,1,2020-01-05,S08000024,Emergency,Cardiology,38,47,-19.1
2020,1,2020-01-05,S08000024,Emergency,Gynaecology,32,26.5,20.8
2020,1,2020-01-05,S08000024,Emergency,Medical (excl. Cardiology & Cancer),861,931,-7.5
2020,1,2020-01-05,S08000024,Emergency,Medical (incl. Cardiology & Cancer),966,1021.5,-5.4
2020,1,2020-01-05,S08000024,Emergency,Paediatrics (medical & surgical),160,129.5,23.6
2020,1,2020-01-05,S08000024,Emergency,Paediatrics (medical),143,118,21.2
2020,1,2020-01-05,S08000024,Emergency,Paediatrics (surgical),17,11.5,47.8
2020,1,2020-01-05,S08000024,Emergency,Surgery,466,375.5,24.1
2020,1,2020-01-05,S08000025,Emergency,All,35,31,12.9
2020,1,2020-01-05,S08000025,Emergency,Medical (excl. Cardiology & Cancer),28,20.5,36.6
2020,1,2020-01-05,S08000025,Emergency,Medical (incl. Cardiology & Cancer),28,20.5,36.6
2020,1,2020-01-05,S08000025,Emergency,Surgery,7,10.5,-33.3
2020,1,2020-01-05,S08000026,Emergency,All,25,37,-32.4
2020,1,2020-01-05,S08000026,Emergency,Medical (excl. Cardiology & Cancer),14,21.5,-34.9
2020,1,2020-01-05,S08000026,Emergency,Medical (incl. Cardiology & Cancer),14,21.5,-34.9
2020,1,2020-01-05,S08000026,Emergency,Surgery,11,15.5,-29
2020,1,2020-01-05,S08000028,Emergency,All,58,74.5,-22.1
2020,1,2020-01-05,S08000028,Emergency,Community,8,14.5,-44.8
2020,1,2020-01-05,S08000028,Emergency,Medical (excl. Cardiology & Cancer),36,47,-23.4
2020,1,2020-01-05,S08000028,Emergency,Medical (incl. Cardiology & Cancer),36,47,-23.4
2020,1,2020-01-05,S08000028,Emergency,Surgery,11,9,22.2
2020,1,2020-01-05,S08000029,Emergency,Accident & Emergency,74,63,17.5
2020,1,2020-01-05,S08000029,Emergency,All,863,843.5,2.3
2020,1,2020-01-05,S08000029,Emergency,Cardiology,31,23,34.8
2020,1,2020-01-05,S08000029,Emergency,Community,11,7.5,46.7
2020,1,2020-01-05,S08000029,Emergency,Gynaecology,19,21.5,-11.6
2020,1,2020-01-05,S08000029,Emergency,Medical (excl. Cardiology & Cancer),470,466,0.9
2020,1,2020-01-05,S08000029,Emergency,Medical (incl. Cardiology & Cancer),501,489,2.5
2020,1,2020-01-05,S08000029,Emergency,Paediatrics (medical & surgical),90,93,-3.2
2020,1,2020-01-05,S08000029,Emergency,Paediatrics (medical),89,93,-4.3
2020,1,2020-01-05,S08000029,Emergency,Surgery,168,168,0
2020,1,2020-01-05,S08000030,Emergency,Accident & Emergency,82,76,7.9
2020,1,2020-01-05,S08000030,Emergency,All,977,1079.5,-9.5
2020,1,2020-01-05,S08000030,Emergency,Cancer,21,18,16.7
2020,1,2020-01-05,S08000030,Emergency,Cardiology,17,25.5,-33.3
2020,1,2020-01-05,S08000030,Emergency,Community,5,21.5,-76.7
2020,1,2020-01-05,S08000030,Emergency,Gynaecology,16,13.5,18.5
2020,1,2020-01-05,S08000030,Emergency,Medical (excl. Cardiology & Cancer),501,550,-8.9
2020,1,2020-01-05,S08000030,Emergency,Medical (incl. Cardiology & Cancer),539,593.5,-9.2
2020,1,2020-01-05,S08000030,Emergency,Paediatrics (medical & surgical),99,132.5,-25.3
2020,1,2020-01-05,S08000030,Emergency,Paediatrics (medical),99,132.5,-25.3
2020,1,2020-01-05,S08000030,Emergency,Surgery,235,241.5,-2.7
2020,1,2020-01-05,S08000031,Emergency,Accident & Emergency,30,34,-11.8
2020,1,2020-01-05,S08000031,Emergency,All,2789,2771,0.6
2020,1,2020-01-05,S08000031,Emergency,Cancer,31,25.5,21.6
2020,1,2020-01-05,S08000031,Emergency,Cardiology,93,85,9.4
2020,1,2020-01-05,S08000031,Emergency,Gynaecology,47,26.5,77.4
2020,1,2020-01-05,S08000031,Emergency,Medical (excl. Cardiology & Cancer),1638,1686,-2.8
2020,1,2020-01-05,S08000031,Emergency,Medical (incl. Cardiology & Cancer),1762,1796.5,-1.9
2020,1,2020-01-05,S08000031,Emergency,Paediatrics (medical & surgical),232,239.5,-3.1
2020,1,2020-01-05,S08000031,Emergency,Paediatrics (medical),220,220.5,-0.2
2020,1,2020-01-05,S08000031,Emergency,Paediatrics (surgical),12,19,-36.8
2020,1,2020-01-05,S08000031,Emergency,Surgery,718,674.5,6.4
2020,1,2020-01-05,S08000032,Emergency,Accident & Emergency,7,3.5,100
2020,1,2020-01-05,S08000032,Emergency,All,1515,1504.5,0.7
2020,1,2020-01-05,S08000032,Emergency,Gynaecology,26,21,23.8
2020,1,2020-01-05,S08000032,Emergency,Medical (excl. Cardiology & Cancer),899,942,-4.6
2020,1,2020-01-05,S08000032,Emergency,Medical (incl. Cardiology & Cancer),980,1008,-2.8
2020,1,2020-01-05,S08000032,Emergency,Paediatrics (medical & surgical),122,131.5,-7.2
2020,1,2020-01-05,S08000032,Emergency,Paediatrics (medical),122,131.5,-7.2
2020,1,2020-01-05,S08000032,Emergency,Surgery,380,340.5,11.6
2020,1,2020-01-05,S92000003,Emergency,Accident & Emergency,549,304.5,80.3
2020,1,2020-01-05,S92000003,Emergency,All,11993,12344,-2.8
2020,1,2020-01-05,S92000003,Emergency,Cancer,142,110.5,28.5
2020,1,2020-01-05,S92000003,Emergency,Cardiology,318,311,2.3
2020,1,2020-01-05,S92000003,Emergency,Community,172,196.5,-12.5
2020,1,2020-01-05,S92000003,Emergency,Gynaecology,186,205,-9.3
2020,1,2020-01-05,S92000003,Emergency,Medical (excl. Cardiology & Cancer),6596,7198.5,-8.4
2020,1,2020-01-05,S92000003,Emergency,Medical (incl. Cardiology & Cancer),7056,7620,-7.4
2020,1,2020-01-05,S92000003,Emergency,Paediatrics (medical & surgical),1128,1233.5,-8.6
2020,1,2020-01-05,S92000003,Emergency,Paediatrics (medical),1086,1197.5,-9.3
2020,1,2020-01-05,S92000003,Emergency,Paediatrics (surgical),42,36,16.7
2020,1,2020-01-05,S92000003,Emergency,Surgery,2901,2781,4.3
2020,1,2020-01-12,S08000015,Emergency,Accident & Emergency,8,18.5,-56.8
2020,1,2020-01-12,S08000015,Emergency,All,1001,1070.5,-6.5
2020,1,2020-01-12,S08000015,Emergency,Cardiology,15,14,7.1
2020,1,2020-01-12,S08000015,Emergency,Medical (excl. Cardiology & Cancer),655,692,-5.3
2020,1,2020-01-12,S08000015,Emergency,Medical (incl. Cardiology & Cancer),670,706,-5.1
2020,1,2020-01-12,S08000015,Emergency,Paediatrics (medical & surgical),113,133,-15
2020,1,2020-01-12,S08000015,Emergency,Paediatrics (medical),113,133,-15
2020,1,2020-01-12,S08000015,Emergency,Surgery,210,213,-1.4
2020,1,2020-01-12,S08000016,Emergency,All,215,247,-13
2020,1,2020-01-12,S08000016,Emergency,Medical (excl. Cardiology & Cancer),135,148.5,-9.1
2020,1,2020-03-15,S08000032,Emergency,Accident & Emergency,7,7,0
2020,1,2020-03-15,S08000032,Emergency,All,1373,1536.5,-10.6
2020,1,2020-03-15,S08000032,Emergency,Cardiology,79,79,0
2020,1,2020-03-15,S08000032,Emergency,Gynaecology,28,23.5,19.1
2020,1,2020-03-15,S08000032,Emergency,Medical (excl. Cardiology & Cancer),758,914.5,-17.1
2020,1,2020-03-15,S08000032,Emergency,Medical (incl. Cardiology & Cancer),837,994,-15.8
2020,1,2020-03-15,S08000032,Emergency,Paediatrics (medical & surgical),154,149.5,3
2020,1,2020-01-12,S08000017,Emergency,Paediatrics (medical & surgical),37,54,-31.5
2020,1,2020-01-12,S08000017,Emergency,Paediatrics (medical),37,54,-31.5
2020,1,2020-01-12,S08000017,Emergency,Surgery,90,86,4.7
2020,1,2020-01-12,S08000019,Emergency,All,555,1117,-50.3
2020,1,2020-01-12,S08000019,Emergency,Gynaecology,16,56,-71.4
2020,1,2020-01-12,S08000019,Emergency,Medical (excl. Cardiology & Cancer),308,661.5,-53.4
2020,1,2020-01-12,S08000019,Emergency,Medical (incl. Cardiology & Cancer),310,668,-53.6
2020,1,2020-01-12,S08000019,Emergency,Paediatrics (medical & surgical),63,153,-58.8
2020,1,2020-01-12,S08000019,Emergency,Paediatrics (medical),63,153,-58.8
2020,1,2020-01-12,S08000019,Emergency,Surgery,162,227.5,-28.8
2020,1,2020-01-12,S08000020,Emergency,Accident & Emergency,51,46.5,9.7
2020,1,2020-01-12,S08000020,Emergency,All,1070,991,8
2020,1,2020-01-12,S08000020,Emergency,Cancer,33,17,94.1
2020,1,2020-01-12,S08000020,Emergency,Cardiology,30,31.5,-4.8
2020,1,2020-01-12,S08000020,Emergency,Community,44,57,-22.8
2020,1,2020-01-12,S08000020,Emergency,Medical (excl. Cardiology & Cancer),454,462.5,-1.8
2020,1,2020-01-12,S08000020,Emergency,Medical (incl. Cardiology & Cancer),517,511,1.2
2020,1,2020-01-12,S08000020,Emergency,Paediatrics (medical & surgical),139,106.5,30.5
2020,1,2020-01-12,S08000020,Emergency,Paediatrics (medical),127,99,28.3
2020,1,2020-01-12,S08000020,Emergency,Paediatrics (surgical),12,7.5,60
2020,1,2020-01-12,S08000020,Emergency,Surgery,315,258,22.1
2020,1,2020-01-12,S08000022,Emergency,All,619,596.5,3.8
2020,1,2020-01-12,S08000022,Emergency,Cardiology,7,4,75
2020,1,2020-01-12,S08000022,Emergency,Community,66,87.5,-24.6
2020,1,2020-01-12,S08000022,Emergency,Gynaecology,18,11.5,56.5
2020,1,2020-01-12,S08000022,Emergency,Medical (excl. Cardiology & Cancer),289,297,-2.7
2020,1,2020-01-12,S08000022,Emergency,Medical (incl. Cardiology & Cancer),296,303.5,-2.5
2020,1,2020-01-12,S08000022,Emergency,Paediatrics (medical & surgical),65,53,22.6
2020,1,2020-01-12,S08000022,Emergency,Paediatrics (medical),65,53,22.6
2020,1,2020-01-12,S08000022,Emergency,Surgery,174,141,23.4
2020,1,2020-01-12,S08000024,Emergency,Accident & Emergency,216,46.5,364.5
2020,1,2020-01-12,S08000024,Emergency,All,1780,1625,9.5
2020,1,2020-01-12,S08000024,Emergency,Cancer,87,53.5,62.6
2020,1,2020-01-12,S08000024,Emergency,Cardiology,47,42.5,10.6
2020,1,2020-01-12,S08000024,Emergency,Gynaecology,23,25.5,-9.8
2020,1,2020-01-12,S08000024,Emergency,Medical (excl. Cardiology & Cancer),882,882,0
2020,1,2020-01-19,S08000015,Emergency,Cardiology,17,16,6.2
2020,1,2020-01-12,S08000024,Emergency,Medical (incl. Cardiology & Cancer),1016,978,3.9
2020,1,2020-01-12,S08000024,Emergency,Paediatrics (medical & surgical),146,129.5,12.7
2020,1,2020-01-12,S08000024,Emergency,Paediatrics (medical),130,104.5,24.4
2020,1,2020-01-12,S08000024,Emergency,Paediatrics (surgical),16,25,-36
2020,1,2020-01-12,S08000024,Emergency,Surgery,379,445.5,-14.9
2020,1,2020-01-12,S08000025,Emergency,All,31,32,-3.1
2020,1,2020-01-12,S08000025,Emergency,Medical (excl. Cardiology & Cancer),15,24,-37.5
2020,1,2020-01-12,S08000025,Emergency,Medical (incl. Cardiology & Cancer),15,24,-37.5
2020,1,2020-01-12,S08000025,Emergency,Surgery,16,8,100
2020,1,2020-01-12,S08000026,Emergency,All,27,43,-37.2
2020,1,2020-01-12,S08000026,Emergency,Medical (excl. Cardiology & Cancer),18,25.5,-29.4
2020,1,2020-01-12,S08000026,Emergency,Medical (incl. Cardiology & Cancer),18,25.5,-29.4
2020,1,2020-01-12,S08000026,Emergency,Surgery,9,17.5,-48.6
2020,1,2020-01-12,S08000028,Emergency,All,68,58.5,16.2
2020,1,2020-01-12,S08000028,Emergency,Community,13,9.5,36.8
2020,1,2020-01-12,S08000028,Emergency,Medical (excl. Cardiology & Cancer),36,37,-2.7
2020,1,2020-01-12,S08000028,Emergency,Medical (incl. Cardiology & Cancer),36,37,-2.7
2020,1,2020-01-12,S08000028,Emergency,Surgery,16,7,128.6
2020,1,2020-01-12,S08000029,Emergency,Accident & Emergency,60,50,20
2020,1,2020-01-12,S08000029,Emergency,All,810,820.5,-1.3
2020,1,2020-01-12,S08000029,Emergency,Cardiology,38,29,31
2020,1,2020-01-12,S08000029,Emergency,Community,6,10.5,-42.9
2020,1,2020-01-12,S08000029,Emergency,Gynaecology,11,15.5,-29
2020,1,2020-01-12,S08000029,Emergency,Medical (excl. Cardiology & Cancer),455,467,-2.6
2020,1,2020-01-12,S08000029,Emergency,Medical (incl. Cardiology & Cancer),493,496,-0.6
2020,1,2020-01-12,S08000029,Emergency,Paediatrics (medical & surgical),77,91.5,-15.8
2020,1,2020-01-12,S08000029,Emergency,Paediatrics (medical),77,91.5,-15.8
2020,1,2020-01-12,S08000029,Emergency,Surgery,163,156.5,4.2
2020,1,2020-01-12,S08000030,Emergency,Accident & Emergency,79,64.5,22.5
2020,1,2020-01-12,S08000030,Emergency,All,1011,1059,-4.5
2020,1,2020-01-12,S08000030,Emergency,Cancer,21,20.5,2.4
2020,1,2020-01-12,S08000030,Emergency,Cardiology,25,27,-7.4
2020,1,2020-01-12,S08000030,Emergency,Community,6,18.5,-67.6
2020,1,2020-01-12,S08000030,Emergency,Gynaecology,16,13.5,18.5
2020,1,2020-01-12,S08000030,Emergency,Medical (excl. Cardiology & Cancer),529,562.5,-6
2020,1,2020-01-12,S08000030,Emergency,Medical (incl. Cardiology & Cancer),575,610,-5.7
2020,1,2020-01-12,S08000030,Emergency,Paediatrics (medical & surgical),97,130,-25.4
2020,1,2020-01-12,S08000030,Emergency,Paediatrics (medical),97,130,-25.4
2020,1,2020-01-12,S08000030,Emergency,Surgery,238,222,7.2
2020,1,2020-01-12,S08000031,Emergency,Accident & Emergency,23,21.5,7
2020,1,2020-01-12,S08000031,Emergency,All,2788,2704,3.1
2020,1,2020-01-12,S08000031,Emergency,Cancer,30,27.5,9.1
2020,1,2020-01-12,S08000031,Emergency,Cardiology,78,95.5,-18.3
2020,1,2020-01-12,S08000031,Emergency,Gynaecology,50,28.5,75.4
2020,1,2020-01-12,S08000031,Emergency,Medical (excl. Cardiology & Cancer),1605,1647.5,-2.6
2020,1,2020-01-12,S08000031,Emergency,Medical (incl. Cardiology & Cancer),1713,1770.5,-3.2
2020,1,2020-01-12,S08000031,Emergency,Paediatrics (medical & surgical),208,198.5,4.8
2020,1,2020-01-12,S08000031,Emergency,Paediatrics (medical),188,187,0.5
2020,1,2020-01-12,S08000031,Emergency,Paediatrics (surgical),20,11.5,73.9
2020,1,2020-01-12,S08000031,Emergency,Surgery,794,685,15.9
2020,1,2020-01-12,S08000032,Emergency,All,1554,1564.5,-0.7
2020,1,2020-01-12,S08000032,Emergency,Cardiology,78,74.5,4.7
2020,1,2020-01-12,S08000032,Emergency,Gynaecology,30,24.5,22.4
2020,1,2020-01-12,S08000032,Emergency,Medical (excl. Cardiology & Cancer),994,976,1.8
2020,1,2020-01-12,S08000032,Emergency,Medical (incl. Cardiology & Cancer),1072,1050.5,2
2020,1,2020-01-12,S08000032,Emergency,Paediatrics (medical & surgical),81,144.5,-43.9
2020,1,2020-01-12,S08000032,Emergency,Paediatrics (medical),81,144.5,-43.9
2020,1,2020-01-12,S08000032,Emergency,Surgery,368,340.5,8.1
2020,1,2020-01-12,S92000003,Emergency,Accident & Emergency,444,264.5,67.9
2020,1,2020-01-12,S92000003,Emergency,All,11887,12319.5,-3.5
2020,1,2020-01-12,S92000003,Emergency,Cancer,171,121,41.3
2020,1,2020-01-12,S92000003,Emergency,Cardiology,326,335.5,-2.8
2020,1,2020-01-12,S92000003,Emergency,Community,154,207.5,-25.8
2020,1,2020-01-12,S92000003,Emergency,Gynaecology,180,200,-10
2020,1,2020-01-12,S92000003,Emergency,Medical (excl. Cardiology & Cancer),6575,7100.5,-7.4
2020,1,2020-01-12,S92000003,Emergency,Medical (incl. Cardiology & Cancer),7072,7557,-6.4
2020,1,2020-01-12,S92000003,Emergency,Paediatrics (medical & surgical),1049,1229,-14.6
2020,1,2020-01-12,S92000003,Emergency,Paediatrics (medical),1001,1185,-15.5
2020,1,2020-01-12,S92000003,Emergency,Paediatrics (surgical),48,44,9.1
2020,1,2020-01-12,S92000003,Emergency,Surgery,2988,2859.5,4.5
2020,1,2020-01-19,S08000015,Emergency,Accident & Emergency,14,28,-50
2020,1,2020-01-19,S08000015,Emergency,All,951,1096,-13.2
2020,1,2020-01-19,S08000015,Emergency,Medical (excl. Cardiology & Cancer),604,666,-9.3
2020,1,2020-01-19,S08000015,Emergency,Medical (incl. Cardiology & Cancer),621,682.5,-9
2020,1,2020-01-19,S08000015,Emergency,Paediatrics (medical & surgical),96,155,-38.1
2020,1,2020-01-19,S08000015,Emergency,Paediatrics (medical),95,155,-38.7
2020,1,2020-01-19,S08000015,Emergency,Surgery,220,230.5,-4.6
2020,1,2020-01-19,S08000016,Emergency,All,215,220,-2.3
2020,1,2020-01-19,S08000016,Emergency,Cardiology,8,10.5,-23.8
2020,1,2020-01-19,S08000016,Emergency,Medical (excl. Cardiology & Cancer),130,123,5.7
2020,1,2020-01-19,S08000016,Emergency,Medical (incl. Cardiology & Cancer),138,133.5,3.4
2020,1,2020-01-19,S08000016,Emergency,Paediatrics (medical & surgical),25,29,-13.8
2020,1,2020-01-19,S08000016,Emergency,Paediatrics (medical),25,29,-13.8
2020,1,2020-01-19,S08000016,Emergency,Surgery,51,54.5,-6.4
2020,1,2020-01-19,S08000017,Emergency,All,340,357.5,-4.9
2020,1,2020-01-19,S08000017,Emergency,Community,26,20,30
2020,1,2020-01-19,S08000017,Emergency,Gynaecology,19,13,46.2
2020,1,2020-01-19,S08000017,Emergency,Medical (excl. Cardiology & Cancer),180,193.5,-7
2020,1,2020-01-19,S08000017,Emergency,Medical (incl. Cardiology & Cancer),180,194,-7.2
2020,1,2020-01-19,S08000017,Emergency,Paediatrics (medical & surgical),36,55,-34.5
2020,1,2020-01-19,S08000017,Emergency,Paediatrics (medical),36,55,-34.5
2020,1,2020-01-19,S08000017,Emergency,Surgery,79,75.5,4.6
2020,1,2020-01-19,S08000019,Emergency,Accident & Emergency,6,10,-40
2020,1,2020-01-19,S08000019,Emergency,All,584,1104,-47.1
2020,1,2020-01-19,S08000019,Emergency,Gynaecology,19,42.5,-55.3
2020,1,2020-01-19,S08000019,Emergency,Medical (excl. Cardiology & Cancer),317,645.5,-50.9
2020,1,2020-01-19,S08000019,Emergency,Medical (incl. Cardiology & Cancer),318,659,-51.7
2020,1,2020-01-19,S08000019,Emergency,Paediatrics (medical & surgical),61,149,-59.1
2020,1,2020-01-19,S08000019,Emergency,Paediatrics (medical),61,149,-59.1
2020,1,2020-01-19,S08000019,Emergency,Surgery,180,243.5,-26.1
2020,1,2020-01-19,S08000020,Emergency,Accident & Emergency,71,43.5,63.2
2020,1,2020-01-19,S08000020,Emergency,All,1086,959.5,13.2
2020,1,2020-01-19,S08000020,Emergency,Cancer,33,19,73.7
2020,1,2020-01-19,S08000020,Emergency,Cardiology,37,32.5,13.8
2020,1,2020-01-19,S08000020,Emergency,Community,52,56,-7.1
2020,1,2020-01-19,S08000020,Emergency,Gynaecology,9,10.5,-14.3
2020,1,2020-01-19,S08000020,Emergency,Medical (excl. Cardiology & Cancer),494,421,17.3
2020,1,2020-01-19,S08000020,Emergency,Medical (incl. Cardiology & Cancer),564,472.5,19.4
2020,1,2020-01-19,S08000020,Emergency,Paediatrics (medical & surgical),124,106,17
2020,1,2020-01-19,S08000020,Emergency,Paediatrics (medical),112,94,19.1
2020,1,2020-01-19,S08000020,Emergency,Paediatrics (surgical),12,12,0
2020,1,2020-01-19,S08000020,Emergency,Surgery,266,271,-1.8
2020,1,2020-01-19,S08000022,Emergency,All,603,637,-5.3
2020,1,2020-01-19,S08000022,Emergency,Cardiology,9,8,12.5
2020,1,2020-01-19,S08000022,Emergency,Community,95,77.5,22.6
2020,1,2020-01-19,S08000022,Emergency,Gynaecology,18,13,38.5
2020,1,2020-01-19,S08000022,Emergency,Medical (excl. Cardiology & Cancer),280,309,-9.4
2020,1,2020-01-19,S08000022,Emergency,Medical (incl. Cardiology & Cancer),289,320,-9.7
2020,1,2020-01-19,S08000022,Emergency,Paediatrics (medical & surgical),50,78.5,-36.3
2020,1,2020-01-19,S08000022,Emergency,Paediatrics (medical),50,78.5,-36.3
2020,1,2020-01-19,S08000022,Emergency,Surgery,151,148,2
2020,1,2020-01-19,S08000024,Emergency,Accident & Emergency,262,26.5,888.7
2020,1,2020-01-19,S08000024,Emergency,All,1876,1513.5,24
2020,1,2020-01-19,S08000024,Emergency,Cancer,83,54.5,52.3
2020,1,2020-01-19,S08000024,Emergency,Cardiology,41,40.5,1.2
2020,1,2020-01-19,S08000024,Emergency,Gynaecology,26,20.5,26.8
2020,1,2020-01-19,S08000024,Emergency,Medical (excl. Cardiology & Cancer),880,829,6.2
2020,1,2020-01-19,S08000024,Emergency,Medical (incl. Cardiology & Cancer),1004,924,8.7
2020,1,2020-01-19,S08000024,Emergency,Paediatrics (medical & surgical),147,137,7.3
2020,1,2020-01-19,S08000024,Emergency,Paediatrics (medical),138,120,15
2020,1,2020-01-19,S08000024,Emergency,Paediatrics (surgical),9,17,-47.1
2020,1,2020-01-19,S08000024,Emergency,Surgery,437,405.5,7.8
2020,1,2020-01-19,S08000025,Emergency,All,41,35,17.1
2020,1,2020-01-19,S08000025,Emergency,Medical (excl. Cardiology & Cancer),24,23.5,2.1
2020,1,2020-01-19,S08000025,Emergency,Medical (incl. Cardiology & Cancer),24,23.5,2.1
2020,1,2020-01-19,S08000025,Emergency,Surgery,17,11.5,47.8
2020,1,2020-01-19,S08000026,Emergency,All,24,43,-44.2
2020,1,2020-01-19,S08000026,Emergency,Medical (excl. Cardiology & Cancer),16,27,-40.7
2020,1,2020-01-19,S08000026,Emergency,Medical (incl. Cardiology & Cancer),16,27,-40.7
2020,1,2020-01-19,S08000026,Emergency,Surgery,8,16,-50
2020,1,2020-01-19,S08000028,Emergency,All,60,59.5,0.8
2020,1,2020-01-19,S08000028,Emergency,Community,9,10.5,-14.3
2020,1,2020-01-19,S08000028,Emergency,Medical (excl. Cardiology & Cancer),35,34,2.9
2020,1,2020-01-19,S08000028,Emergency,Medical (incl. Cardiology & Cancer),35,34,2.9
2020,1,2020-01-19,S08000028,Emergency,Surgery,10,10.5,-4.8
2020,1,2020-01-19,S08000029,Emergency,Accident & Emergency,84,53.5,57
2020,1,2020-01-19,S08000029,Emergency,All,830,775.5,7
2020,1,2020-01-19,S08000029,Emergency,Cardiology,30,18,66.7
2020,1,2020-01-19,S08000029,Emergency,Community,11,8.5,29.4
2020,1,2020-01-19,S08000029,Emergency,Gynaecology,17,17,0
2020,1,2020-01-19,S08000029,Emergency,Medical (excl. Cardiology & Cancer),440,448,-1.8
2020,1,2020-01-19,S08000029,Emergency,Medical (incl. Cardiology & Cancer),470,466,0.9
2020,1,2020-01-19,S08000029,Emergency,Paediatrics (medical & surgical),103,81.5,26.4
2020,1,2020-01-19,S08000029,Emergency,Paediatrics (medical),103,81,27.2
2020,1,2020-01-19,S08000029,Emergency,Surgery,145,148.5,-2.4
2020,1,2020-01-19,S08000030,Emergency,Accident & Emergency,61,65.5,-6.9
2020,1,2020-01-19,S08000030,Emergency,All,976,1041.5,-6.3
2020,1,2020-01-19,S08000030,Emergency,Cancer,22,22.5,-2.2
2020,1,2020-01-19,S08000030,Emergency,Cardiology,18,22,-18.2
2020,1,2020-01-19,S08000030,Emergency,Community,7,25.5,-72.5
2020,1,2020-01-19,S08000030,Emergency,Gynaecology,14,11.5,21.7
2020,1,2020-01-19,S08000030,Emergency,Medical (excl. Cardiology & Cancer),521,529,-1.5
2020,1,2020-01-19,S08000030,Emergency,Medical (incl. Cardiology & Cancer),561,573.5,-2.2
2020,1,2020-01-19,S08000030,Emergency,Paediatrics (medical & surgical),102,120.5,-15.4
2020,1,2020-01-19,S08000030,Emergency,Paediatrics (medical),102,120.5,-15.4
2020,1,2020-01-19,S08000030,Emergency,Surgery,231,245,-5.7
2020,1,2020-01-19,S08000031,Emergency,Accident & Emergency,29,30.5,-4.9
2020,1,2020-01-19,S08000031,Emergency,All,2750,2660,3.4
2020,1,2020-01-19,S08000031,Emergency,Cancer,31,33,-6.1
2020,1,2020-01-19,S08000031,Emergency,Cardiology,84,71,18.3
2020,1,2020-01-19,S08000031,Emergency,Gynaecology,47,29,62.1
2020,1,2020-01-19,S08000031,Emergency,Medical (excl. Cardiology & Cancer),1572,1611,-2.4
2020,1,2020-01-19,S08000031,Emergency,Medical (incl. Cardiology & Cancer),1687,1715,-1.6
2020,1,2020-01-19,S08000031,Emergency,Paediatrics (medical & surgical),206,225.5,-8.6
2020,1,2020-01-19,S08000031,Emergency,Paediatrics (medical),194,204.5,-5.1
2020,1,2020-01-19,S08000031,Emergency,Paediatrics (surgical),12,21,-42.9
2020,1,2020-01-19,S08000031,Emergency,Surgery,781,660,18.3
2020,1,2020-01-19,S08000032,Emergency,Accident & Emergency,7,3.5,100
2020,1,2020-01-19,S08000032,Emergency,All,1409,1475,-4.5
2020,1,2020-01-19,S08000032,Emergency,Cardiology,73,80,-8.8
2020,1,2020-01-19,S08000032,Emergency,Gynaecology,31,18.5,67.6
2020,1,2020-01-19,S08000032,Emergency,Medical (excl. Cardiology & Cancer),848,893,-5
2020,1,2020-01-19,S08000032,Emergency,Medical (incl. Cardiology & Cancer),921,973,-5.3
2020,1,2020-01-19,S08000032,Emergency,Paediatrics (medical & surgical),98,138.5,-29.2
2020,1,2020-01-19,S08000032,Emergency,Paediatrics (medical),98,138.5,-29.2
2020,1,2020-01-19,S08000032,Emergency,Surgery,352,341.5,3.1
2020,1,2020-01-19,S92000003,Emergency,Accident & Emergency,534,261,104.6
2020,1,2020-01-19,S92000003,Emergency,All,11745,11977,-1.9
2020,1,2020-01-19,S92000003,Emergency,Cancer,169,132.5,27.5
2020,1,2020-01-19,S92000003,Emergency,Cardiology,318,312.5,1.8
2020,1,2020-01-19,S92000003,Emergency,Community,201,201,0
2020,1,2020-01-19,S92000003,Emergency,Gynaecology,202,177,14.1
2020,1,2020-01-19,S92000003,Emergency,Medical (excl. Cardiology & Cancer),6341,6752.5,-6.1
2020,1,2020-01-19,S92000003,Emergency,Medical (incl. Cardiology & Cancer),6828,7197.5,-5.1
2020,1,2020-01-19,S92000003,Emergency,Paediatrics (medical & surgical),1052,1278.5,-17.7
2020,1,2020-01-19,S92000003,Emergency,Paediatrics (medical),1018,1228,-17.1
2020,1,2020-01-19,S92000003,Emergency,Paediatrics (surgical),34,50.5,-32.7
2020,1,2020-01-19,S92000003,Emergency,Surgery,2928,2861.5,2.3
2020,1,2020-01-26,S08000015,Emergency,Accident & Emergency,9,13.5,-33.3
2020,1,2020-01-26,S08000015,Emergency,All,965,1066.5,-9.5
2020,1,2020-01-26,S08000015,Emergency,Cardiology,12,12.5,-4
2020,1,2020-01-26,S08000015,Emergency,Medical (excl. Cardiology & Cancer),593,645,-8.1
2020,1,2020-01-26,S08000015,Emergency,Medical (incl. Cardiology & Cancer),605,657.5,-8
2020,1,2020-01-26,S08000015,Emergency,Paediatrics (medical & surgical),138,140,-1.4
2020,1,2020-01-26,S08000015,Emergency,Paediatrics (medical),138,140,-1.4
2020,1,2020-01-26,S08000015,Emergency,Surgery,213,255.5,-16.6
2020,1,2020-01-26,S08000016,Emergency,All,217,220,-1.4
2020,1,2020-01-26,S08000016,Emergency,Cardiology,6,9,-33.3
2020,1,2020-01-26,S08000016,Emergency,Medical (excl. Cardiology & Cancer),127,125.5,1.2
2020,1,2020-01-26,S08000016,Emergency,Medical (incl. Cardiology & Cancer),133,134.5,-1.1
