year,quarter,hb,location,admission_type,simd,episodes,length_of_episode,average_length_of_episode,stays,length_of_stay,average_length_of_stay
2019,1,S08000024,S314H,Transfers,NA,76,223,2.93421052631579,0,0,NA
2019,2,S08000024,S314H,Transfers,NA,129,498,3.86046511627907,0,0,NA
2019,3,S08000024,S314H,Transfers,NA,175,690,3.94285714285714,0,0,NA
2019,4,S08000024,S314H,Transfers,NA,132,570,4.31818181818182,0,0,NA
2020,1,S08000024,S314H,Transfers,NA,92,342,3.71739130434783,0,0,NA
2020,2,S08000024,S314H,Transfers,NA,45,195,4.33333333333333,0,0,NA
2020,3,S08000024,S314H,Transfers,NA,68,159,2.33823529411765,0,0,NA
2020,4,S08000024,S314H,Transfers,NA,58,236,4.06896551724138,0,0,NA
2021,1,S08000024,S314H,Transfers,NA,55,243,4.41818181818182,0,0,NA
2021,2,S08000024,S314H,Transfers,NA,72,174,2.41666666666667,0,0,NA
2016,2,S08000024,S308H,Transfers,1,282,2053,7.28014184397163,0,0,NA
2016,3,S08000024,S308H,Transfers,1,271,2390,8.81918819188192,0,0,NA
2016,4,S08000024,S308H,Transfers,1,312,2425,7.7724358974359,0,0,NA
2017,1,S08000024,S308H,Transfers,1,310,1885,6.08064516129032,0,0,NA
2017,2,S08000024,S308H,Transfers,1,297,2343,7.88888888888889,0,0,NA
2017,3,S08000024,S308H,Transfers,1,295,2191,7.4271186440678,0,0,NA
2017,4,S08000024,S308H,Transfers,1,355,2704,7.6169014084507,0,0,NA
2018,1,S08000024,S308H,Transfers,1,347,2445,7.04610951008646,0,0,NA
2018,2,S08000024,S308H,Transfers,1,327,2858,8.74006116207951,0,0,NA
2018,3,S08000024,S308H,Transfers,1,275,1941,7.05818181818182,0,0,NA
2018,4,S08000024,S308H,Transfers,1,329,2018,6.13373860182371,0,0,NA
2019,1,S08000024,S308H,Transfers,1,332,2501,7.53313253012048,0,0,NA
2019,2,S08000024,S308H,Transfers,1,267,2006,7.51310861423221,0,0,NA
2019,3,S08000024,S308H,Transfers,1,303,2375,7.83828382838284,0,0,NA
2019,4,S08000024,S308H,Transfers,1,313,1894,6.05111821086262,0,0,NA
2019,2,S08000025,S08000025,Transfers,2,25,240,9.6,0,0,NA
2019,3,S08000025,S08000025,Transfers,2,24,204,8.5,0,0,NA
2019,4,S08000025,S08000025,Transfers,2,11,147,13.3636363636364,0,0,NA
2020,1,S08000025,S08000025,Transfers,2,15,270,18,0,0,NA
2020,2,S08000025,S08000025,Transfers,2,15,225,15,0,0,NA
2020,3,S08000025,S08000025,Transfers,2,20,109,5.45,0,0,NA
2017,3,S08000024,S308H,Transfers,2,495,3822,7.72121212121212,0,0,NA
2017,4,S08000024,S308H,Transfers,2,563,4734,8.40852575488455,0,0,NA
2018,1,S08000024,S308H,Transfers,2,666,5381,8.07957957957958,0,0,NA
2018,2,S08000024,S308H,Transfers,2,536,3871,7.22201492537313,0,0,NA
2018,3,S08000024,S308H,Transfers,2,524,4197,8.00954198473282,0,0,NA
2018,4,S08000024,S308H,Transfers,2,542,4080,7.52767527675277,0,0,NA
2019,1,S08000024,S308H,Transfers,2,543,4165,7.67034990791897,0,0,NA
2019,2,S08000024,S308H,Transfers,2,568,4003,7.04753521126761,0,0,NA
2019,3,S08000024,S308H,Transfers,2,517,4283,8.28433268858801,0,0,NA
2019,4,S08000024,S308H,Transfers,2,579,4443,7.67357512953368,0,0,NA
2020,1,S08000024,S308H,Transfers,2,693,5497,7.93217893217893,0,0,NA
2020,2,S08000024,S308H,Transfers,2,646,2658,4.11455108359133,0,0,NA
2020,3,S08000024,S308H,Transfers,2,836,3799,4.54425837320574,0,0,NA
2020,4,S08000024,S308H,Transfers,2,773,4547,5.88227684346701,0,0,NA
2021,1,S08000024,S308H,Transfers,2,663,3943,5.94720965309201,0,0,NA
2021,2,S08000024,S308H,Transfers,2,768,3403,4.43098958333333,0,0,NA
2016,2,S08000024,S308H,Transfers,3,341,3280,9.61876832844575,0,0,NA
2016,3,S08000024,S308H,Transfers,3,326,3012,9.23926380368098,0,0,NA
2016,4,S08000024,S308H,Transfers,3,321,2665,8.30218068535826,0,0,NA
2017,1,S08000024,S308H,Transfers,3,363,3296,9.07988980716253,0,0,NA
2017,2,S08000024,S308H,Transfers,3,303,2610,8.61386138613861,0,0,NA
2017,3,S08000024,S308H,Transfers,3,285,2224,7.80350877192982,0,0,NA
2017,4,S08000024,S308H,Transfers,3,413,3340,8.08716707021792,0,0,NA
2018,1,S08000024,S308H,Transfers,3,427,3025,7.08430913348946,0,0,NA
2018,2,S08000024,S308H,Transfers,3,416,3400,8.17307692307692,0,0,NA
2018,3,S08000024,S308H,Transfers,3,368,3435,9.33423913043478,0,0,NA
2018,4,S08000024,S308H,Transfers,3,363,3161,8.70798898071625,0,0,NA
2019,1,S08000024,S308H,Transfers,3,295,2364,8.0135593220339,0,0,NA
2019,2,S08000024,S308H,Transfers,3,369,2467,6.68563685636856,0,0,NA
2019,3,S08000024,S308H,Transfers,3,347,2738,7.89048991354467,0,0,NA
2019,4,S08000024,S308H,Transfers,3,350,2546,7.27428571428571,0,0,NA
2020,1,S08000024,S308H,Transfers,3,421,3428,8.14251781472684,0,0,NA
2020,2,S08000024,S308H,Transfers,3,449,1819,4.05122494432071,0,0,NA
2020,3,S08000024,S308H,Transfers,3,516,2366,4.58527131782946,0,0,NA
2020,4,S08000024,S308H,Transfers,3,430,2272,5.28372093023256,0,0,NA
2021,1,S08000024,S308H,Transfers,3,432,2324,5.37962962962963,0,0,NA
2021,2,S08000024,S308H,Transfers,3,505,2473,4.8970297029703,0,0,NA
2016,2,S08000024,S308H,Transfers,4,146,1038,7.10958904109589,0,0,NA
2016,3,S08000024,S308H,Transfers,4,184,1493,8.11413043478261,0,0,NA
2016,4,S08000024,S308H,Transfers,4,171,1458,8.52631578947368,0,0,NA
2017,1,S08000024,S308H,Transfers,4,222,2207,9.94144144144144,0,0,NA
2017,2,S08000024,S308H,Transfers,4,226,1820,8.05309734513274,0,0,NA
2017,3,S08000024,S308H,Transfers,4,238,1891,7.9453781512605,0,0,NA
2017,4,S08000024,S308H,Transfers,4,231,1806,7.81818181818182,0,0,NA
2018,1,S08000024,S308H,Transfers,4,259,1806,6.97297297297297,0,0,NA
2018,2,S08000024,S308H,Transfers,4,211,1734,8.21800947867299,0,0,NA
2018,3,S08000024,S308H,Transfers,4,224,1551,6.92410714285714,0,0,NA
2018,4,S08000024,S308H,Transfers,4,225,2569,11.4177777777778,0,0,NA
2019,1,S08000024,S308H,Transfers,4,258,2148,8.32558139534884,0,0,NA
2019,2,S08000024,S308H,Transfers,4,269,2070,7.69516728624535,0,0,NA
2019,3,S08000024,S308H,Transfers,4,288,2364,8.20833333333333,0,0,NA
2019,4,S08000024,S308H,Transfers,4,303,2502,8.25742574257426,0,0,NA
2020,1,S08000024,S308H,Transfers,4,301,2448,8.1328903654485,0,0,NA
2020,2,S08000024,S308H,Transfers,4,304,1331,4.37828947368421,0,0,NA
2020,3,S08000024,S308H,Transfers,4,363,1413,3.89256198347107,0,0,NA
2020,4,S08000024,S308H,Transfers,4,308,1743,5.65909090909091,0,0,NA
2021,1,S08000024,S308H,Transfers,4,344,1972,5.73255813953488,0,0,NA
2021,2,S08000024,S308H,Transfers,4,306,1541,5.0359477124183,0,0,NA
2016,2,S08000024,S308H,Transfers,5,150,1340,8.93333333333333,0,0,NA
2016,3,S08000024,S308H,Transfers,5,175,1256,7.17714285714286,0,0,NA
2016,4,S08000024,S308H,Transfers,5,218,1872,8.58715596330275,0,0,NA
2017,1,S08000024,S308H,Transfers,5,148,1252,8.45945945945946,0,0,NA
2017,2,S08000024,S308H,Transfers,5,167,1687,10.1017964071856,0,0,NA
2017,3,S08000024,S308H,Transfers,5,180,1199,6.66111111111111,0,0,NA
2017,4,S08000024,S308H,Transfers,5,173,1227,7.09248554913295,0,0,NA
2018,1,S08000024,S308H,Transfers,5,226,1470,6.50442477876106,0,0,NA
2018,2,S08000024,S308H,Transfers,5,223,2124,9.52466367713004,0,0,NA
2018,3,S08000024,S308H,Transfers,5,200,1705,8.525,0,0,NA
2018,4,S08000024,S308H,Transfers,5,221,1585,7.17194570135747,0,0,NA
2019,1,S08000024,S308H,Transfers,5,232,1925,8.29741379310345,0,0,NA
2019,2,S08000024,S308H,Transfers,5,206,1409,6.83980582524272,0,0,NA
2019,3,S08000024,S308H,Transfers,5,219,1361,6.21461187214612,0,0,NA
2019,4,S08000024,S308H,Transfers,5,204,1993,9.76960784313725,0,0,NA
2020,1,S08000024,S308H,Transfers,5,254,1821,7.16929133858268,0,0,NA
2020,2,S08000024,S308H,Transfers,5,214,862,4.02803738317757,0,0,NA
2020,3,S08000024,S308H,Transfers,5,291,1446,4.96907216494845,0,0,NA
2020,4,S08000024,S308H,Transfers,5,265,1315,4.9622641509434,0,0,NA
2021,1,S08000024,S308H,Transfers,5,252,1469,5.82936507936508,0,0,NA
2021,2,S08000024,S308H,Transfers,5,240,1533,6.3875,0,0,NA
2016,2,S08000024,S308H,Transfers,NA,15,65,4.33333333333333,0,0,NA
2016,3,S08000024,S308H,Transfers,NA,5,0,0,0,0,NA
2017,1,S08000024,S308H,Transfers,NA,10,48,4.8,0,0,NA
2017,2,S08000024,S308H,Transfers,NA,5,75,15,0,0,NA
2017,3,S08000024,S308H,Transfers,NA,5,10,2,0,0,NA
2017,4,S08000024,S308H,Transfers,NA,10,60,6,0,0,NA
2018,1,S08000024,S308H,Transfers,NA,5,19,3.8,0,0,NA
2018,2,S08000024,S308H,Transfers,NA,5,9,1.8,0,0,NA
2018,3,S08000024,S308H,Transfers,NA,11,60,5.45454545454545,0,0,NA
2018,4,S08000024,S308H,Transfers,NA,5,20,4,0,0,NA
2019,1,S08000024,S308H,Transfers,NA,5,40,8,0,0,NA
2019,2,S08000024,S308H,Transfers,NA,10,40,4,0,0,NA
2019,3,S08000024,S308H,Transfers,NA,13,53,4.07692307692308,0,0,NA
2019,4,S08000024,S308H,Transfers,NA,14,40,2.85714285714286,0,0,NA
2020,1,S08000024,S308H,Transfers,NA,5,20,4,0,0,NA
2020,3,S08000024,S308H,Transfers,NA,5,8,1.6,0,0,NA
2021,2,S08000024,S308H,Transfers,NA,10,45,4.5,0,0,NA
2016,2,S08000024,S116H,Transfers,1,679,6485,9.55081001472754,0,0,NA
2016,3,S08000024,S116H,Transfers,1,693,5848,8.43867243867244,0,0,NA
2016,4,S08000024,S116H,Transfers,1,683,5817,8.51683748169839,0,0,NA
2017,1,S08000024,S116H,Transfers,1,600,5353,8.92166666666667,0,0,NA
2017,2,S08000024,S116H,Transfers,1,586,5096,8.6962457337884,0,0,NA
2017,3,S08000024,S116H,Transfers,1,579,5021,8.67184801381693,0,0,NA
2017,4,S08000024,S116H,Transfers,1,566,5046,8.91519434628975,0,0,NA
2018,1,S08000024,S116H,Transfers,1,562,4745,8.44306049822064,0,0,NA
2018,2,S08000024,S116H,Transfers,1,586,4850,8.27645051194539,0,0,NA
2018,3,S08000024,S116H,Transfers,1,586,5609,9.57167235494881,0,0,NA
2018,4,S08000024,S116H,Transfers,1,627,5708,9.103668261563,0,0,NA
2019,1,S08000024,S116H,Transfers,1,659,5516,8.37025796661609,0,0,NA
2019,2,S08000024,S116H,Transfers,1,744,5698,7.65860215053763,0,0,NA
2019,3,S08000024,S116H,Transfers,1,664,4851,7.30572289156626,0,0,NA
2019,4,S08000024,S116H,Transfers,1,674,4809,7.13501483679525,0,0,NA
2020,1,S08000024,S116H,Transfers,1,698,5850,8.3810888252149,0,0,NA
2020,2,S08000024,S116H,Transfers,1,633,3392,5.35860979462875,0,0,NA
2020,3,S08000024,S116H,Transfers,1,704,4096,5.81818181818182,0,0,NA
2020,4,S08000024,S116H,Transfers,1,636,3537,5.56132075471698,0,0,NA
2021,1,S08000024,S116H,Transfers,1,637,5562,8.73155416012559,0,0,NA
2021,2,S08000024,S116H,Transfers,1,636,4286,6.73899371069182,0,0,NA
2016,2,S08000024,S116H,Transfers,2,887,7337,8.271702367531,0,0,NA
2016,3,S08000024,S116H,Transfers,2,934,8307,8.89400428265525,0,0,NA
2016,4,S08000024,S116H,Transfers,2,840,7956,9.47142857142857,0,0,NA
2017,1,S08000024,S116H,Transfers,2,899,8823,9.81423804226919,0,0,NA
2017,2,S08000024,S116H,Transfers,2,1055,9804,9.29289099526066,0,0,NA
2017,3,S08000024,S116H,Transfers,2,997,8473,8.49849548645938,0,0,NA
2017,4,S08000024,S116H,Transfers,2,989,9305,9.40849342770475,0,0,NA
2018,1,S08000024,S116H,Transfers,2,898,8788,9.78619153674833,0,0,NA
2018,2,S08000024,S116H,Transfers,2,822,8171,9.94038929440389,0,0,NA
2018,3,S08000024,S116H,Transfers,2,886,7249,8.18171557562077,0,0,NA
2018,4,S08000024,S116H,Transfers,2,953,8602,9.02623294858342,0,0,NA
2019,1,S08000024,S116H,Transfers,2,936,8434,9.01068376068376,0,0,NA
2019,2,S08000024,S116H,Transfers,2,1140,9888,8.67368421052632,0,0,NA
2019,3,S08000024,S116H,Transfers,2,1175,9379,7.98212765957447,0,0,NA
2019,4,S08000024,S116H,Transfers,2,1080,8160,7.55555555555556,0,0,NA
2020,1,S08000024,S116H,Transfers,2,1170,9453,8.07948717948718,0,0,NA
2020,2,S08000024,S116H,Transfers,2,1060,5836,5.50566037735849,0,0,NA
2020,3,S08000024,S116H,Transfers,2,1077,6502,6.03714020427112,0,0,NA
2020,4,S08000024,S116H,Transfers,2,1080,7127,6.59907407407407,0,0,NA
2021,1,S08000024,S116H,Transfers,2,969,6362,6.56553147574819,0,0,NA
2021,2,S08000024,S116H,Transfers,2,941,5935,6.30712008501594,0,0,NA
2016,2,S08000024,S116H,Transfers,3,738,6771,9.17479674796748,0,0,NA
2016,3,S08000024,S116H,Transfers,3,760,6558,8.62894736842105,0,0,NA
2016,4,S08000024,S116H,Transfers,3,716,6512,9.09497206703911,0,0,NA
2017,1,S08000024,S116H,Transfers,3,681,5858,8.60205580029369,0,0,NA
2017,2,S08000024,S116H,Transfers,3,653,5297,8.11179173047473,0,0,NA
2017,3,S08000024,S116H,Transfers,3,666,5440,8.16816816816817,0,0,NA
2017,4,S08000024,S116H,Transfers,3,668,5588,8.36526946107784,0,0,NA
2018,1,S08000024,S116H,Transfers,3,655,4821,7.36030534351145,0,0,NA
2018,2,S08000024,S116H,Transfers,3,625,4762,7.6192,0,0,NA
2018,3,S08000024,S116H,Transfers,3,643,5832,9.06998444790047,0,0,NA
2018,4,S08000024,S116H,Transfers,3,705,6942,9.8468085106383,0,0,NA
2019,1,S08000024,S116H,Transfers,3,671,5211,7.76602086438152,0,0,NA
2019,2,S08000024,S116H,Transfers,3,840,6059,7.21309523809524,0,0,NA
2019,3,S08000024,S116H,Transfers,3,762,5347,7.01706036745407,0,0,NA
2019,4,S08000024,S116H,Transfers,3,781,5564,7.12419974391805,0,0,NA
2020,1,S08000024,S116H,Transfers,3,794,5521,6.95340050377834,0,0,NA
2020,2,S08000024,S116H,Transfers,3,683,3414,4.99853587115666,0,0,NA
2020,3,S08000024,S116H,Transfers,3,666,3570,5.36036036036036,0,0,NA
2020,4,S08000024,S116H,Transfers,3,699,5020,7.18168812589413,0,0,NA
2021,1,S08000024,S116H,Transfers,3,659,4316,6.54931714719272,0,0,NA
2021,2,S08000024,S116H,Transfers,3,630,5041,8.0015873015873,0,0,NA
2016,2,S08000024,S116H,Transfers,4,719,6643,9.23922114047288,0,0,NA
2016,3,S08000024,S116H,Transfers,4,607,6245,10.2883031301483,0,0,NA
2016,4,S08000024,S116H,Transfers,4,648,6918,10.6759259259259,0,0,NA
2017,1,S08000024,S116H,Transfers,4,691,6292,9.10564399421129,0,0,NA
2017,2,S08000024,S116H,Transfers,4,635,5776,9.09606299212598,0,0,NA
2017,3,S08000024,S116H,Transfers,4,600,5407,9.01166666666667,0,0,NA
2017,4,S08000024,S116H,Transfers,4,661,5216,7.8910741301059,0,0,NA
2018,1,S08000024,S116H,Transfers,4,608,5551,9.12993421052632,0,0,NA
2018,2,S08000024,S116H,Transfers,4,608,5301,8.71875,0,0,NA
2018,3,S08000024,S116H,Transfers,4,594,5220,8.78787878787879,0,0,NA
2018,4,S08000024,S116H,Transfers,4,757,6889,9.1003963011889,0,0,NA
2019,1,S08000024,S116H,Transfers,4,703,5849,8.32005689900427,0,0,NA
2019,2,S08000024,S116H,Transfers,4,781,6310,8.07938540332906,0,0,NA
2019,3,S08000024,S116H,Transfers,4,817,6718,8.22276621787026,0,0,NA
2019,4,S08000024,S116H,Transfers,4,810,6642,8.2,0,0,NA
2020,1,S08000024,S116H,Transfers,4,793,7027,8.86128625472888,0,0,NA
2020,2,S08000024,S116H,Transfers,4,702,3466,4.93732193732194,0,0,NA
2020,3,S08000024,S116H,Transfers,4,624,3965,6.35416666666667,0,0,NA
2020,4,S08000024,S116H,Transfers,4,744,4768,6.40860215053763,0,0,NA
2021,1,S08000024,S116H,Transfers,4,656,4222,6.4359756097561,0,0,NA
2021,2,S08000024,S116H,Transfers,4,712,4488,6.30337078651685,0,0,NA
2016,2,S08000024,S116H,Transfers,5,1103,11232,10.1831368993654,0,0,NA
2016,3,S08000024,S116H,Transfers,5,1173,12069,10.2890025575448,0,0,NA
2016,4,S08000024,S116H,Transfers,5,1160,12668,10.9206896551724,0,0,NA
2017,1,S08000024,S116H,Transfers,5,1293,15403,11.9126063418407,0,0,NA
2017,2,S08000024,S116H,Transfers,5,1187,12154,10.2392586352148,0,0,NA
2017,3,S08000024,S116H,Transfers,5,1185,12494,10.5434599156118,0,0,NA
2017,4,S08000024,S116H,Transfers,5,1153,12706,11.0199479618387,0,0,NA
2018,1,S08000024,S116H,Transfers,5,1152,12943,11.2352430555556,0,0,NA
2018,2,S08000024,S116H,Transfers,5,1169,14626,12.5115483319076,0,0,NA
2018,3,S08000024,S116H,Transfers,5,1117,12354,11.059982094897,0,0,NA
2018,4,S08000024,S116H,Transfers,5,1213,13188,10.8722176422094,0,0,NA
2019,1,S08000024,S116H,Transfers,5,1320,13189,9.99166666666667,0,0,NA
2019,2,S08000024,S116H,Transfers,5,1330,12418,9.33684210526316,0,0,NA
2019,3,S08000024,S116H,Transfers,5,1318,11596,8.79817905918058,0,0,NA
2019,4,S08000024,S116H,Transfers,5,1355,12826,9.46568265682657,0,0,NA
2020,1,S08000024,S116H,Transfers,5,1438,14545,10.1147426981919,0,0,NA
2020,2,S08000024,S116H,Transfers,5,1227,7546,6.14995925020375,0,0,NA
2020,3,S08000024,S116H,Transfers,5,1191,7833,6.57682619647355,0,0,NA
2020,4,S08000024,S116H,Transfers,5,1324,10003,7.55513595166163,0,0,NA
2021,1,S08000024,S116H,Transfers,5,1293,10108,7.81747873163186,0,0,NA
2021,2,S08000024,S116H,Transfers,5,1279,9745,7.6192337763878,0,0,NA
2016,2,S08000024,S116H,Transfers,NA,35,468,13.3714285714286,0,0,NA
2016,3,S08000024,S116H,Transfers,NA,50,230,4.6,0,0,NA
2016,4,S08000024,S116H,Transfers,NA,25,207,8.28,0,0,NA
2017,1,S08000024,S116H,Transfers,NA,29,272,9.37931034482759,0,0,NA
2017,2,S08000024,S116H,Transfers,NA,34,285,8.38235294117647,0,0,NA
2017,3,S08000024,S116H,Transfers,NA,40,280,7,0,0,NA
2017,4,S08000024,S116H,Transfers,NA,31,281,9.06451612903226,0,0,NA
2018,1,S08000024,S116H,Transfers,NA,28,105,3.75,0,0,NA
2018,2,S08000024,S116H,Transfers,NA,35,177,5.05714285714286,0,0,NA
2018,3,S08000024,S116H,Transfers,NA,48,208,4.33333333333333,0,0,NA
2018,4,S08000024,S116H,Transfers,NA,36,145,4.02777777777778,0,0,NA
2019,1,S08000024,S116H,Transfers,NA,22,145,6.59090909090909,0,0,NA
2019,2,S08000024,S116H,Transfers,NA,38,291,7.6578947368421,0,0,NA
2019,3,S08000024,S116H,Transfers,NA,68,365,5.36764705882353,0,0,NA
2019,4,S08000024,S116H,Transfers,NA,44,233,5.29545454545455,0,0,NA
2020,1,S08000024,S116H,Transfers,NA,32,276,8.625,0,0,NA
2020,2,S08000024,S116H,Transfers,NA,10,60,6,0,0,NA
2020,3,S08000024,S116H,Transfers,NA,13,17,1.30769230769231,0,0,NA
2020,4,S08000024,S116H,Transfers,NA,15,58,3.86666666666667,0,0,NA
2021,1,S08000024,S116H,Transfers,NA,16,58,3.625,0,0,NA
2021,2,S08000024,S116H,Transfers,NA,22,48,2.18181818181818,0,0,NA
2016,3,S08000025,S08000025,Transfers,1,5,0,0,0,0,NA
2018,1,S08000025,S08000025,Transfers,1,0,0,NA,0,0,NA
2018,3,S08000025,S08000025,Transfers,1,0,0,NA,0,0,NA
2016,2,S08000025,S08000025,Transfers,2,30,126,4.2,0,0,NA
2016,3,S08000025,S08000025,Transfers,2,15,110,7.33333333333333,0,0,NA
2016,4,S08000025,S08000025,Transfers,2,40,218,5.45,0,0,NA
2017,1,S08000025,S08000025,Transfers,2,20,326,16.3,0,0,NA
2017,2,S08000025,S08000025,Transfers,2,30,121,4.03333333333333,0,0,NA
2017,3,S08000025,S08000025,Transfers,2,15,156,10.4,0,0,NA
2017,4,S08000025,S08000025,Transfers,2,28,376,13.4285714285714,0,0,NA
2018,1,S08000025,S08000025,Transfers,2,32,216,6.75,0,0,NA
2018,2,S08000025,S08000025,Transfers,2,20,198,9.9,0,0,NA
2018,3,S08000025,S08000025,Transfers,2,25,197,7.88,0,0,NA
2018,4,S08000025,S08000025,Transfers,2,25,164,6.56,0,0,NA
2019,1,S08000025,S08000025,Transfers,2,27,347,12.8518518518519,0,0,NA
2019,3,S08000017,Y146H,All Inpatients,3,2728,9884,3.62316715542522,1572,13130,8.35241730279898
2019,4,S08000017,Y146H,All Inpatients,3,2997,10195,3.40173506840173,1693,14043,8.29474305965741
2020,1,S08000017,Y146H,All Inpatients,3,2778,9340,3.36213102951764,1578,15609,9.89163498098859
2020,2,S08000017,Y146H,All Inpatients,3,1916,6054,3.15970772442589,1089,8626,7.92102846648301
2020,3,S08000017,Y146H,All Inpatients,3,2584,8869,3.43227554179567,1505,10541,7.00398671096346
2020,4,S08000017,Y146H,All Inpatients,3,2699,9782,3.62430529825861,1523,11673,7.66447800393959
2021,1,S08000017,Y146H,All Inpatients,3,2369,9008,3.8024482904179,1357,11509,8.48120854826824
2021,2,S08000017,Y146H,All Inpatients,3,2614,8567,3.27735271614384,1568,11087,7.07079081632653
2016,2,S08000017,Y146H,All Inpatients,4,922,3889,4.21800433839479,658,5852,8.8936170212766
2016,3,S08000017,Y146H,All Inpatients,4,936,4098,4.37820512820513,661,5959,9.01512859304085
2016,4,S08000017,Y146H,All Inpatients,4,1020,3771,3.69705882352941,660,5034,7.62727272727273
2017,1,S08000017,Y146H,All Inpatients,4,1049,4386,4.18112488083889,635,6313,9.94173228346457
2020,4,S08000025,S08000025,Transfers,2,20,176,8.8,0,0,NA
2021,1,S08000025,S08000025,Transfers,2,25,232,9.28,0,0,NA
2021,2,S08000025,S08000025,Transfers,2,30,590,19.6666666666667,0,0,NA
2016,2,S08000025,S08000025,Transfers,3,65,939,14.4461538461538,0,0,NA
2016,3,S08000025,S08000025,Transfers,3,70,663,9.47142857142857,0,0,NA
2016,4,S08000025,S08000025,Transfers,3,77,906,11.7662337662338,0,0,NA
2017,1,S08000025,S08000025,Transfers,3,30,411,13.7,0,0,NA
2017,2,S08000025,S08000025,Transfers,3,30,362,12.0666666666667,0,0,NA
2017,3,S08000025,S08000025,Transfers,3,20,485,24.25,0,0,NA
2017,4,S08000025,S08000025,Transfers,3,25,282,11.28,0,0,NA
2018,1,S08000025,S08000025,Transfers,3,20,312,15.6,0,0,NA
2018,2,S08000025,S08000025,Transfers,3,30,247,8.23333333333333,0,0,NA
2018,3,S08000025,S08000025,Transfers,3,25,243,9.72,0,0,NA
2018,4,S08000025,S08000025,Transfers,3,25,188,7.52,0,0,NA
2019,1,S08000025,S08000025,Transfers,3,30,172,5.73333333333333,0,0,NA
2019,2,S08000025,S08000025,Transfers,3,50,406,8.12,0,0,NA
2019,3,S08000025,S08000025,Transfers,3,25,420,16.8,0,0,NA
2019,4,S08000025,S08000025,Transfers,3,25,235,9.4,0,0,NA
2020,1,S08000025,S08000025,Transfers,3,25,294,11.76,0,0,NA
2020,2,S08000025,S08000025,Transfers,3,20,236,11.8,0,0,NA
2020,3,S08000025,S08000025,Transfers,3,20,127,6.35,0,0,NA
2020,4,S08000025,S08000025,Transfers,3,25,384,15.36,0,0,NA
2021,1,S08000025,S08000025,Transfers,3,20,242,12.1,0,0,NA
2021,2,S08000025,S08000025,Transfers,3,20,413,20.65,0,0,NA
2016,2,S08000025,S08000025,Transfers,4,51,599,11.7450980392157,0,0,NA
2016,3,S08000025,S08000025,Transfers,4,75,893,11.9066666666667,0,0,NA
2016,4,S08000025,S08000025,Transfers,4,60,502,8.36666666666667,0,0,NA
2017,1,S08000025,S08000025,Transfers,4,72,775,10.7638888888889,0,0,NA
2017,2,S08000025,S08000025,Transfers,4,66,902,13.6666666666667,0,0,NA
2017,3,S08000025,S08000025,Transfers,4,58,475,8.18965517241379,0,0,NA
2017,4,S08000025,S08000025,Transfers,4,79,609,7.70886075949367,0,0,NA
2018,1,S08000025,S08000025,Transfers,4,82,664,8.09756097560976,0,0,NA
2018,2,S08000025,S08000025,Transfers,4,74,685,9.25675675675676,0,0,NA
2018,3,S08000025,S08000025,Transfers,4,60,992,16.5333333333333,0,0,NA
2018,4,S08000025,S08000025,Transfers,4,94,805,8.56382978723404,0,0,NA
2019,1,S08000025,S08000025,Transfers,4,90,866,9.62222222222222,0,0,NA
2019,2,S08000025,S08000025,Transfers,4,101,1110,10.990099009901,0,0,NA
2019,3,S08000025,S08000025,Transfers,4,51,573,11.2352941176471,0,0,NA
2019,4,S08000025,S08000025,Transfers,4,47,574,12.2127659574468,0,0,NA
2020,1,S08000025,S08000025,Transfers,4,53,763,14.3962264150943,0,0,NA
2020,2,S08000025,S08000025,Transfers,4,45,660,14.6666666666667,0,0,NA
2020,3,S08000025,S08000025,Transfers,4,44,599,13.6136363636364,0,0,NA
2020,4,S08000025,S08000025,Transfers,4,40,309,7.725,0,0,NA
2021,1,S08000025,S08000025,Transfers,4,59,381,6.45762711864407,0,0,NA
2021,2,S08000025,S08000025,Transfers,4,65,625,9.61538461538461,0,0,NA
2016,2,S08000025,S08000025,Transfers,5,20,86,4.3,0,0,NA
2016,3,S08000025,S08000025,Transfers,5,10,115,11.5,0,0,NA
2016,4,S08000025,S08000025,Transfers,5,10,55,5.5,0,0,NA
2017,2,S08000025,S08000025,Transfers,5,0,5,NA,0,0,NA
2017,3,S08000025,S08000025,Transfers,5,0,30,NA,0,0,NA
2017,4,S08000025,S08000025,Transfers,5,5,95,19,0,0,NA
2018,1,S08000025,S08000025,Transfers,5,0,5,NA,0,0,NA
2018,3,S08000025,S08000025,Transfers,5,0,0,NA,0,0,NA
2016,2,S08000025,S08000025,Transfers,NA,0,0,NA,0,0,NA
2016,3,S08000025,S08000025,Transfers,NA,5,14,2.8,0,0,NA
2016,4,S08000025,S08000025,Transfers,NA,0,0,NA,0,0,NA
2017,1,S08000025,S08000025,Transfers,NA,0,5,NA,0,0,NA
2017,2,S08000025,S08000025,Transfers,NA,5,10,2,0,0,NA
2017,3,S08000025,S08000025,Transfers,NA,5,5,1,0,0,NA
2018,2,S08000025,S08000025,Transfers,NA,0,11,NA,0,0,NA
2018,3,S08000025,S08000025,Transfers,NA,5,20,4,0,0,NA
2018,4,S08000025,S08000025,Transfers,NA,0,0,NA,0,0,NA
2019,1,S08000025,S08000025,Transfers,NA,0,0,NA,0,0,NA
2019,2,S08000025,S08000025,Transfers,NA,10,25,2.5,0,0,NA
